threshold,precision,recall,specificity,false_positive_rate,f1,tp,fp,tn,fn
0.05,0.20951985034296405,0.993103448275862,0.04567126725219573,0.9543287327478043,0.34603501544799176,1008,3803,182,7
0.06,0.21553228621291448,0.9733990147783251,0.09761606022584693,0.9023839397741531,0.35292016431505624,988,3596,389,27
0.07,0.21553228621291448,0.9733990147783251,0.09761606022584693,0.9023839397741531,0.35292016431505624,988,3596,389,27
0.08,0.22617924528301886,0.9448275862068966,0.1766624843161857,0.8233375156838143,0.36498572787821126,959,3281,704,56
0.09,0.23321730482347092,0.9241379310344827,0.2260978670012547,0.7739021329987453,0.37244391502878704,938,3084,901,77
0.1,0.23321730482347092,0.9241379310344827,0.2260978670012547,0.7739021329987453,0.37244391502878704,938,3084,901,77
0.11,0.24794791961505802,0.8630541871921182,0.33324968632371393,0.666750313676286,0.38522427440633245,876,2657,1328,139
0.12,0.2580547112462006,0.8364532019704434,0.38745294855708906,0.612547051442911,0.39442508710801394,849,2441,1544,166
0.13,0.2580547112462006,0.8364532019704434,0.38745294855708906,0.612547051442911,0.39442508710801394,849,2441,1544,166
0.14,0.2692055154300722,0.8078817733990148,0.44140526976160604,0.558594730238394,0.40384141836985965,820,2226,1759,195
0.15,0.2920772566022862,0.7300492610837438,0.5493099121706398,0.45069008782936015,0.4172297297297297,741,1796,2189,274
0.16,0.30980392156862746,0.7004926108374384,0.6025094102885822,0.3974905897114178,0.42960725075528705,711,1584,2401,304
0.17,0.3254352030947776,0.6630541871921182,0.6499372647427855,0.35006273525721454,0.4365877392150503,673,1395,2590,342
0.18,0.3417989417989418,0.6364532019704433,0.6878293601003764,0.31217063989962357,0.444750430292599,646,1244,2741,369
0.19,0.3417989417989418,0.6364532019704433,0.6878293601003764,0.31217063989962357,0.444750430292599,646,1244,2741,369
0.2,0.3589296102385108,0.6078817733990147,0.7234629861982435,0.27653701380175655,0.451353328456474,617,1102,2883,398
0.21,0.3953006219765031,0.5635467980295567,0.7804265997490589,0.21957340025094108,0.4646628757108042,572,875,3110,443
0.22,0.42240726722180166,0.5497536945812808,0.8085319949811794,0.19146800501882055,0.4777397260273973,558,763,3222,457
0.23,0.44071954210956665,0.5310344827586206,0.8283563362609787,0.1716436637390213,0.48168007149240394,539,684,3301,476
0.24,0.4574468085106383,0.5083743842364532,0.8464240903387704,0.15357590966122958,0.48156789547363515,516,612,3373,499
0.25,0.4732394366197183,0.496551724137931,0.8592220828105396,0.14077791718946042,0.4846153846153846,504,561,3424,511
0.26,0.4934804413239719,0.48472906403940885,0.8732747804265998,0.12672521957340022,0.489065606361829,492,505,3480,523
0.27,0.4934804413239719,0.48472906403940885,0.8732747804265998,0.12672521957340022,0.489065606361829,492,505,3480,523
0.28,0.5063025210084033,0.4748768472906404,0.8820577164366374,0.11794228356336256,0.4900864260294865,482,470,3515,533
